Date,Total_Revenue,Total_Orders,Avg_Freight_Ratio,Daily_AOV,Sales_Lag_1,Sales_Lag_7,Rolling_Mean_7d,DayOfWeek,Is_Weekend,DayOfMonth,Month
2017-06-27,16681.61,140,0.3135343085755592,119.15435714285715,13414.76,10968.33,11235.48,1,0,27,6
2017-06-28,14655.82,120,0.32840335989164604,122.13183333333333,16681.61,6183.65,12051.662857142857,2,0,28,6
2017-06-29,12169.53,110,0.3247898826544751,110.63209090909092,14655.82,8826.81,13261.972857142857,3,0,29,6
2017-06-30,12736.89,93,0.29860995354838243,136.9558064516129,12169.53,13282.98,13739.504285714287,4,0,30,6
2017-07-01,12151.75,80,0.31442880156823944,151.896875,12736.89,8325.65,13661.49142857143,5,1,1,7
2017-07-02,11489.44,105,0.32981257245129947,109.4232380952381,12151.75,17646.18,14208.077142857144,6,1,2,7
2017-07-03,16611.05,117,0.3306724381480632,141.97478632478632,11489.44,13414.76,13328.54285714286,0,0,3,7
2017-07-04,15484.24,123,0.3302905322079509,125.88813008130082,16611.05,16681.61,13785.155714285715,1,0,4,7
2017-07-05,20789.56,140,0.31041279470290256,148.49685714285715,15484.24,14655.82,13614.102857142858,2,0,5,7
2017-07-06,22223.72,148,0.29605197735702127,150.16027027027027,20789.56,12169.53,14490.351428571428,3,0,6,7
2017-07-07,13662.87,117,0.33027878092604873,116.77666666666667,22223.72,12736.89,15926.664285714285,4,0,7,7
2017-07-08,10206.86,83,0.2617095422974565,122.97421686746989,13662.87,12151.75,16058.947142857141,5,1,8,7
2017-07-09,8197.38,90,0.35839122068154644,91.082,10206.86,11489.44,15781.105714285713,6,1,9,7
2017-07-10,17326.93,140,0.33224199063711257,123.76378571428572,8197.38,16611.05,15310.811428571427,0,0,10,7
2017-07-11,20213.79,162,0.31313235531277767,124.77648148148148,17326.93,15484.24,15413.08,1,0,11,7
2017-07-12,19180.22,149,0.32240083657781116,128.72630872483222,20213.79,20789.56,16088.73,2,0,12,7
2017-07-13,14531.0,137,0.35770477127382244,106.06569343065694,19180.22,22223.72,15858.824285714287,3,0,13,7
2017-07-14,18745.15,149,0.3330907937608871,125.80637583892619,14531.0,13662.87,14759.864285714286,4,0,14,7
2017-07-15,10930.56,98,0.35324869628536987,111.53632653061224,18745.15,10206.86,15485.904285714289,5,1,15,7
2017-07-16,13421.6,112,1.1998678784064487,119.83571428571429,10930.56,8197.38,15589.290000000003,6,1,16,7
2017-07-17,21554.98,163,0.26988670912483015,132.23914110429448,13421.6,17326.93,16335.607142857143,0,0,17,7
2017-07-18,28238.2,190,0.2765703757878995,148.6221052631579,21554.98,20213.79,16939.614285714288,1,0,18,7
2017-07-19,16545.34,150,0.29475684798774365,110.30226666666667,28238.2,19180.22,18085.95857142857,2,0,19,7
